ID	xref	page_num	fig_num	accession	iupac	composition	wurcs	url
G4.1	None	9	4	G67397CY	GlcNAc?1-?GlcNAc?1-?Man	GlcNAc(2)Man(1)	WURCS=2.0/2,3,2/[a1122h-1x_1-5][a2122h-1x_1-5_2*NCC/3=O]/1-2-2/a?-b1_b?-c1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-3-1
G4.2	None	9	4	G17271TR	Man?1-?Man?1-?Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(3)	WURCS=2.0/2,5,4/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-2/a?-b1_b?-c1_c?-d1_d?-e1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-3-2
G4.3	None	9	4	G17271TR	Man?1-?Man?1-?Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(3)	WURCS=2.0/2,5,4/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-2/a?-b1_b?-c1_c?-d1_d?-e1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-3-3
G4.4	None	9	4	G94017LW	Fuc?1-?(Man?1-?Man?1-?Man?1-?GlcNAc?1-?)GlcNAc	GlcNAc(2)Fuc(1)Man(3)	WURCS=2.0/3,6,5/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a1221m-1x_1-5]/1-1-2-2-2-3/a?-b1_a?-f1_b?-c1_c?-d1_d?-e1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-3-4
G4.5	None	9	4	G94017LW	Fuc?1-?(Man?1-?Man?1-?Man?1-?GlcNAc?1-?)GlcNAc	GlcNAc(2)Fuc(1)Man(3)	WURCS=2.0/3,6,5/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a1221m-1x_1-5]/1-1-2-2-2-3/a?-b1_a?-f1_b?-c1_c?-d1_d?-e1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-3-5
G4.6	None	9	4	G58858DY	Man?1-?Man?1-?(Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(4)	WURCS=2.0/2,6,5/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-2-2/a?-b1_b?-c1_c?-d1_c?-f1_d?-e1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-3-6
G4.7	None	9	4	G58858DY	Man?1-?Man?1-?(Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(4)	WURCS=2.0/2,6,5/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-2-2/a?-b1_b?-c1_c?-d1_c?-f1_d?-e1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-3-7
G4.8	None	9	4	G27815BZ	Fuc?1-?(Man?1-?(Man?1-?)Man?1-?GlcNAc?1-?)GlcNAc	GlcNAc(2)Fuc(1)Man(3)	WURCS=2.0/3,6,5/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a1221m-1x_1-5]/1-1-2-2-2-3/a?-b1_a?-f1_b?-c1_c?-d1_c?-e1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-3-8
G4.9	None	9	4	G64780OA	Man?1-?(Man?1-?)Man?1-?(Man?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(6)	WURCS=2.0/2,8,7/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-2-2-2-2/a?-b1_b?-c1_c?-d1_c?-g1_d?-e1_d?-f1_g?-h1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-3-9
G4.10	None	9	4	G03833LE	Man?1-?(Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(3)	WURCS=2.0/2,5,4/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-2/a?-b1_b?-c1_c?-d1_c?-e1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-3-10
